"Participant.ID","AgeGroup","Gender","SkinTone","Origin","Education","MusicTraining","Familiarity.Score"
"1","25-34 years old","Male","5.rarely","South America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.24"
"2","35-44 years old","Female","2.usually","Europe","Doctorate (e.g. PhD, EdD)","No","0.49"
"3","18-24 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.36"
"4","45-54 years old","Male","3.sometimes","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.33"
"5","25-34 years old","Male","2.usually",NA,"Bachelor’s degree (e.g. BA, BS)","No","0.2"
"6","35-44 years old","Male","3.sometimes","South America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.24"
"7","25-34 years old","Male","2.usually",NA,"Bachelor’s degree (e.g. BA, BS)","Yes","0.36"
"8","45-54 years old","Female","4.minimally","North America","Master’s degree (e.g. MA, MS, MEd)","No","0.16"
"9","35-44 years old","Male","1.always","Europe","Doctorate (e.g. PhD, EdD)","No","0.35"
"10","25-34 years old","Male","4.minimally","South America","Bachelor’s degree (e.g. BA, BS)","Yes","0.17"
"11","18-24 years old","Male","3.sometimes","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.28"
"12","25-34 years old","Male",NA,"North America","High school degree or equivalent","No","0.2"
"13","18-24 years old","Male","1.always","Oceania","High school degree or equivalent","No","0.15"
"14","25-34 years old","Female","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.2"
"15","25-34 years old","Female","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.15"
"16","25-34 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.41"
"17","35-44 years old","Female",NA,"Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.25"
"18","45-54 years old","Male","3.sometimes",NA,"Master’s degree (e.g. MA, MS, MEd)","No","0.21"
"19","35-44 years old","Male","1.always","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.33"
"20","35-44 years old","Male","1.always","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.06"
"21","25-34 years old","Female","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.43"
"22","18-24 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.2"
"23","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.48"
"24","35-44 years old","Female","3.sometimes","Africa","Doctorate (e.g. PhD, EdD)","Yes","0.19"
"25","35-44 years old","Female","1.always","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.4"
"26","35-44 years old","Male","4.minimally","South America","Master’s degree (e.g. MA, MS, MEd)","No","0.55"
"27","25-34 years old","Prefer not to Say","1.always","Europe","High school degree or equivalent","Yes","0.17"
"28","25-34 years old","Male",NA,NA,NA,"Yes","0.32"
"29","25-34 years old","Male","2.usually","South America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.09"
"30","25-34 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.47"
"31","18-24 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.14"
"32","35-44 years old","Prefer not to Say","4.minimally","North America","Bachelor’s degree (e.g. BA, BS)","Yes","0.43"
"33","25-34 years old","Female","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.04"
"34","55-64 years old","Male","2.usually","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.12"
"35","35-44 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.44"
"36","25-34 years old","Male","1.always","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.71"
"37","25-34 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.4"
"38","35-44 years old","Male","2.usually",NA,"Bachelor’s degree (e.g. BA, BS)","No","0.31"
"39","45-54 years old","Male","1.always","Oceania","Master’s degree (e.g. MA, MS, MEd)","No","0.5"
"40","25-34 years old","Male","1.always","Oceania","Master’s degree (e.g. MA, MS, MEd)","No","0.28"
"41","35-44 years old","Male","2.usually",NA,"Doctorate (e.g. PhD, EdD)","No","0.34"
"42","45-54 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.2"
"43","25-34 years old","Male","2.usually","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.14"
"44","25-34 years old","Male",NA,"Europe","Doctorate (e.g. PhD, EdD)","Yes","0.09"
"45","35-44 years old","Male","5.rarely","Asia","Bachelor’s degree (e.g. BA, BS)","Yes","0.29"
"46","25-34 years old","Female","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.63"
"47","35-44 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.74"
"48","45-54 years old","Male","1.always","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.19"
"49","35-44 years old","Male","3.sometimes","Europe","Doctorate (e.g. PhD, EdD)","No","0.21"
"50","35-44 years old","Prefer not to Say","3.sometimes","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.83"
"51","25-34 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.23"
"52","25-34 years old","Male","1.always","Europe","High school degree or equivalent","Yes","1"
"53","35-44 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.25"
"54","18-24 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.12"
"55","18-24 years old","Male",NA,"Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.22"
"56","18-24 years old","Male","1.always","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.45"
"57","35-44 years old","Male","1.always","Europe","High school degree or equivalent","No","0.57"
"58","18-24 years old","Male",NA,"North America","High school degree or equivalent","No","0.18"
"59","35-44 years old","Male","3.sometimes","South America","Bachelor’s degree (e.g. BA, BS)","No","0.41"
"60","35-44 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.33"
"61","25-34 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.33"
"62","25-34 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.22"
"63","25-34 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.24"
"64","18-24 years old","Prefer not to Say","4.minimally","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.54"
"65","18-24 years old","Prefer not to Say","4.minimally","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.54"
"66","45-54 years old","Male","1.always","Europe","High school degree or equivalent","Yes","0.15"
"67","25-34 years old","Male","3.sometimes","South America","Doctorate (e.g. PhD, EdD)","Yes","0.41"
"68","35-44 years old","Male","1.always","Europe","High school degree or equivalent","Yes","0.81"
"69","18-24 years old","Male","3.sometimes","Asia","High school degree or equivalent","Yes","0.19"
"70","25-34 years old","Male","1.always","Asia","Doctorate (e.g. PhD, EdD)","Yes","0.26"
"71","18-24 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.19"
"72","18-24 years old","Prefer not to Say","4.minimally","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.54"
"73","18-24 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.13"
"74","35-44 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.2"
"75","18-24 years old","Prefer not to Say","4.minimally","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.54"
"76","18-24 years old","Male","2.usually","Europe","High school degree or equivalent","Yes","0.13"
"77","25-34 years old","Male","1.always","South America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.2"
"78","25-34 years old","Female","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.14"
"79","18-24 years old","Male","3.sometimes","South America","High school degree or equivalent","No","0.23"
"80","25-34 years old","Male",NA,"South America","Bachelor’s degree (e.g. BA, BS)","Yes","0.17"
"81","25-34 years old","Male","4.minimally","South America","Master’s degree (e.g. MA, MS, MEd)","No","0.23"
"82","45-54 years old","Male","1.always","Europe","Professional degree (e.g. MD, DDS, DVM)","No","0.09"
"83","18-24 years old","Male","1.always","Europe","High school degree or equivalent","No","0.08"
"84","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.06"
"85","25-34 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.03"
"86",NA,"Prefer not to Say","6.never","Africa","Doctorate (e.g. PhD, EdD)","Yes","0.15"
"87","25-34 years old","Male","2.usually","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.38"
"88","35-44 years old","Female","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.32"
"89","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.48"
"90","35-44 years old","Female","1.always","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.76"
"91","45-54 years old","Male","2.usually","Asia","Doctorate (e.g. PhD, EdD)","No","0.25"
"92","35-44 years old","Male","1.always","Europe","High school degree or equivalent","No","0.38"
"93","35-44 years old","Female","1.always","North America","Master’s degree (e.g. MA, MS, MEd)","No","0.44"
"94","25-34 years old","Male","1.always","Europe","Bachelor’s degree (e.g. BA, BS)","No","0.1"
"95","18-24 years old","Female","2.usually","Europe","High school degree or equivalent","Yes","0.25"
"96","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.75"
"97","25-34 years old","Male","2.usually","Europe","High school degree or equivalent","No","0.33"
"98","35-44 years old","Female","2.usually","South America","Doctorate (e.g. PhD, EdD)","Yes","0"
"99","25-34 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.23"
"100","25-34 years old","Male","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.04"
"101","35-44 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.2"
"102","25-34 years old","Prefer not to Say",NA,"Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.27"
"103","25-34 years old","Male","5.rarely","Asia","Master’s degree (e.g. MA, MS, MEd)","No","0.36"
"104","35-44 years old","Female","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.14"
"105","35-44 years old","Prefer not to Say","4.minimally",NA,"Doctorate (e.g. PhD, EdD)","Yes","0.54"
"106","25-34 years old","Male","4.minimally","North America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.21"
"107","25-34 years old","Male","2.usually","Europe","Doctorate (e.g. PhD, EdD)","Yes","0.14"
"108","35-44 years old","Prefer not to Say","4.minimally","South America","Master’s degree (e.g. MA, MS, MEd)","Yes","0.34"
"109","25-34 years old","Male","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.02"
"110","25-34 years old","Female","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.13"
"111","25-34 years old","Female","1.always","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.13"
"112","25-34 years old","Female","3.sometimes","Europe","Master’s degree (e.g. MA, MS, MEd)","No","0.04"
"113","25-34 years old","Male","3.sometimes","Europe","Doctorate (e.g. PhD, EdD)","No","0.42"
"114","35-44 years old","Male","2.usually","Europe","Master’s degree (e.g. MA, MS, MEd)","Yes","0.33"
"115","35-44 years old","Male","3.sometimes","Europe","Bachelor’s degree (e.g. BA, BS)","Yes","0.3"
